,job1,job2,total,relative_occurrence_job
machine learning,3195.0,20158.0,23353.0,1.678984829966209
technical,4519.0,12492.0,17011.0,1.22302106549716
management,4143.0,10062.0,14205.0,1.0212811848443455
statistics,1988.0,10707.0,12695.0,0.9127183837802861
analytical,2539.0,9067.0,11606.0,0.8344237544036236
communication,2443.0,6616.0,9059.0,0.651304910489611
programming,1577.0,6683.0,8260.0,0.5938600905888274
communication skills,1309.0,3501.0,4810.0,0.34581925372061256
data visualization,713.0,3268.0,3981.0,0.28621755697749657
deep learning,436.0,3414.0,3850.0,0.27679919476597886
rational,787.0,2708.0,3495.0,0.2512761521317133
mathematical,383.0,2474.0,2857.0,0.20540657128477963
creative,615.0,2146.0,2761.0,0.19850456538931627
predictive modeling,268.0,2301.0,2569.0,0.18470055359838952
collaboration,655.0,1692.0,2347.0,0.1687396649651305
agile,661.0,1651.0,2312.0,0.16622330864907614
coding,451.0,1413.0,1864.0,0.13401394780358042
logical,795.0,955.0,1750.0,0.12581781580271767
problem-solving,446.0,1005.0,1451.0,0.10432094327413904
curiosity,191.0,837.0,1028.0,0.07390897979725358
creativity,246.0,768.0,1014.0,0.07290243727083183
presentation skills,185.0,670.0,855.0,0.06147099000647063
strong communication,188.0,623.0,811.0,0.058307570637716584
mentoring,195.0,587.0,782.0,0.056222589690128694
team player,237.0,471.0,708.0,0.05090229347904235
risk management,149.0,530.0,679.0,0.04881731253145445
critical thinking,158.0,509.0,667.0,0.04795456179452153
verbal and written communication skills,199.0,432.0,631.0,0.04536630958372277
business acumen,142.0,407.0,549.0,0.039470846214681145
data wrangling,70.0,333.0,403.0,0.028974045581997267
time management,157.0,231.0,388.0,0.027895607160831115
calculus,28.0,231.0,259.0,0.018621036738802214
linear algebra,66.0,191.0,257.0,0.018477244949313396
data preparation,48.0,200.0,248.0,0.017830181896613704
storytelling,54.0,168.0,222.0,0.015960888633259042
business knowledge,28.0,155.0,183.0,0.013156948738227047
work ethic,67.0,99.0,166.0,0.011934718527572075
intuition,42.0,108.0,150.0,0.010784384211661514
pragmatic,28.0,117.0,145.0,0.010424904737939463
model deployment,18.0,113.0,131.0,0.009418362211517723
artisan,3.0,113.0,116.0,0.008339923790351571
adaptability,32.0,80.0,112.0,0.00805234021137393
cooperation,27.0,56.0,83.0,0.0059673592637860375
software skills,26.0,17.0,43.0,0.003091523474009634
model production,3.0,10.0,13.0,0.0009346466316773312
skeptical,3.0,7.0,10.0,0.0007189589474441009
product understanding,5.0,3.0,8.0,0.0005751671579552807
guardian,3.0,2.0,5.0,0.00035947947372205047
risk-averse,1.0,2.0,3.0,0.0002156876842332303
operational skills,1.0,2.0,3.0,0.0002156876842332303
idealist,0.0,2.0,2.0,0.00014379178948882018
business savy,0.0,0.0,0.0,0.0
