,job1,job2,total,relative_occurrence_job
machine learning,3195.0,20158.0,23353.0,1.678984829966209
statistics,1988.0,10707.0,12695.0,0.9127183837802861
programming,1577.0,6683.0,8260.0,0.5938600905888274
data visualization,713.0,3268.0,3981.0,0.28621755697749657
deep learning,436.0,3414.0,3850.0,0.27679919476597886
predictive modeling,268.0,2301.0,2569.0,0.18470055359838952
coding,451.0,1413.0,1864.0,0.13401394780358042
data wrangling,70.0,333.0,403.0,0.028974045581997267
calculus,28.0,231.0,259.0,0.018621036738802214
linear algebra,66.0,191.0,257.0,0.018477244949313396
data preparation,48.0,200.0,248.0,0.017830181896613704
model deployment,18.0,113.0,131.0,0.009418362211517723
model production,3.0,10.0,13.0,0.0009346466316773312
