,job1,job2,total,relative_occurrence_job
technical,4519.0,12492.0,17011.0,1.22302106549716
analytical,2539.0,9067.0,11606.0,0.8344237544036236
rational,787.0,2708.0,3495.0,0.2512761521317133
mathematical,383.0,2474.0,2857.0,0.20540657128477963
creative,615.0,2146.0,2761.0,0.19850456538931627
agile,661.0,1651.0,2312.0,0.16622330864907614
logical,795.0,955.0,1750.0,0.12581781580271767
curiosity,191.0,837.0,1028.0,0.07390897979725358
creativity,246.0,768.0,1014.0,0.07290243727083183
strong communication,188.0,623.0,811.0,0.058307570637716584
critical thinking,158.0,509.0,667.0,0.04795456179452153
intuition,42.0,108.0,150.0,0.010784384211661514
pragmatic,28.0,117.0,145.0,0.010424904737939463
artisan,3.0,113.0,116.0,0.008339923790351571
skeptical,3.0,7.0,10.0,0.0007189589474441009
guardian,3.0,2.0,5.0,0.00035947947372205047
risk-averse,1.0,2.0,3.0,0.0002156876842332303
idealist,0.0,2.0,2.0,0.00014379178948882018
business savy,0.0,0.0,0.0,0.0
